time,open,high,low,close,volume
2022/06/22-11:25,4296.99,4298.33,4291.5,4297.46,414781
2022/06/22-11:30,4297.64,4307.13,4297.34,4306.32,311443
2022/06/22-13:05,4307.58,4308.27,4298.32,4307.24,610329
2022/06/22-13:10,4307.04,4308.6,4303.05,4308.6,390357
2022/06/22-13:15,4308.41,4314.07,4308.41,4309.39,455810
2022/06/22-13:20,4309.3,4312.52,4307.04,4310.11,504758
2022/06/22-13:25,4310.11,4314.37,4307.4,4314.37,449252
2022/06/22-13:30,4314.45,4316.52,4312.54,4315.44,422595
2022/06/22-13:35,4315.62,4317.18,4311.8,4311.83,421008
2022/06/22-13:40,4311.58,4313.74,4305.41,4311.17,489536
2022/06/22-13:45,4311.39,4312.38,4309.02,4311.78,390362
2022/06/22-13:50,4311.64,4312.5,4307.77,4307.92,391306
2022/06/22-13:55,4308.37,4308.37,4299.98,4299.98,474531
2022/06/22-14:00,4300.36,4300.79,4296.25,4300.08,420713
2022/06/22-14:05,4300.23,4303.61,4297.52,4297.52,393610
2022/06/22-14:10,4297.31,4299.23,4296.65,4298.23,360008
2022/06/22-14:15,4298.16,4298.57,4286.78,4287.96,603552
2022/06/22-14:20,4287.9,4288.55,4277.41,4280.9,688364
2022/06/22-14:25,4280.69,4284.83,4280.69,4281.88,453712
2022/06/22-14:30,4281.77,4282.18,4273.53,4280.93,628379
2022/06/22-14:35,4280.5,4283.05,4278.76,4278.76,495023
2022/06/22-14:40,4278.76,4278.93,4271.48,4271.63,622239
2022/06/22-14:45,4271.65,4272.41,4269.25,4269.38,683369
2022/06/22-14:50,4269.5,4278.37,4269.5,4278.19,613471
2022/06/22-14:55,4278.34,4278.57,4273.51,4273.51,705057
2022/06/22-15:00,4273.34,4273.61,4270.62,4270.62,653630
2022/06/23-09:35,4277.96,4294.91,4277.96,4287.2,2242738
2022/06/23-09:40,4287.08,4296.11,4284.03,4288.51,1295190
2022/06/23-09:45,4288.81,4300.2,4288.81,4291.68,1279163
2022/06/23-09:50,4291.18,4297.71,4289.47,4295.19,932046
2022/06/23-09:55,4294.72,4294.72,4285.8,4286.16,1004316
2022/06/23-10:00,4285.45,4285.81,4275.64,4276.24,936328
2022/06/23-10:05,4276.13,4280.74,4267.56,4271.53,982640
2022/06/23-10:10,4271.83,4281.66,4271.74,4281.51,759951
2022/06/23-10:15,4281.85,4286.58,4279.54,4279.58,652925
2022/06/23-10:20,4279.75,4279.75,4272.05,4274.17,724407
2022/06/23-10:25,4273.77,4273.8,4260.9,4265.1,766562
2022/06/23-10:30,4265.74,4270.66,4261.99,4270.66,639213
2022/06/23-10:35,4270.93,4275.8,4270.73,4272.74,486180
2022/06/23-10:40,4272.81,4280.99,4272.59,4280.88,521108
2022/06/23-10:45,4280.81,4283.24,4278.1,4282.17,534419
2022/06/23-10:50,4281.94,4288.98,4281.94,4286.17,527878
2022/06/23-10:55,4286.51,4286.51,4281.84,4284.74,440243
2022/06/23-11:00,4285.04,4288.85,4283.59,4288.85,535946
2022/06/23-11:05,4289.21,4292.97,4285.46,4286.12,493280
2022/06/23-11:10,4286.09,4287.83,4285.1,4285.61,389126
